username,repo_name,stars,repo_url
dotnet,aspnetcore,30900,https://github.com/dotnet/aspnetcore
files-community,Files,26200,https://github.com/files-community/Files
SeleniumHQ,selenium,25800,https://github.com/SeleniumHQ/selenium
jellyfin,jellyfin,20500,https://github.com/jellyfin/jellyfin
dotnet,core,18600,https://github.com/dotnet/core
dotnet,maui,18200,https://github.com/dotnet/maui
dotnet,corefx,17900,https://github.com/dotnet/corefx
icsharpcode,ILSpy,17000,https://github.com/icsharpcode/ILSpy
AvaloniaUI,Avalonia,16800,https://github.com/AvaloniaUI/Avalonia
Ryujinx,Ryujinx,16400,https://github.com/Ryujinx/Ryujinx
quozd,awesome-dotnet,16100,https://github.com/quozd/awesome-dotnet
microsoft,react-native-windows,15300,https://github.com/microsoft/react-native-windows
pulumi,pulumi,15100,https://github.com/pulumi/pulumi
MoienTajik,AspNetCore-Developer-Roadmap,14200,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
dotnet,coreclr,12800,https://github.com/dotnet/coreclr
BeyondDimension,SteamTools,12500,https://github.com/BeyondDimension/SteamTools
OpenRA,OpenRA,12300,https://github.com/OpenRA/OpenRA
ardalis,CleanArchitecture,12100,https://github.com/ardalis/CleanArchitecture
bitwarden,server,11900,https://github.com/bitwarden/server
App-vNext,Polly,11600,https://github.com/App-vNext/Polly
