username,repo_name,stars,repo_url
public-apis,public-apis,228000,https://github.com/public-apis/public-apis
neovim,neovim,62200,https://github.com/neovim/neovim
tiangolo,fastapi,54400,https://github.com/tiangolo/fastapi
strapi,strapi,51800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,49800,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,45300,https://github.com/ocornut/imgui
slatedocs,slate,34900,https://github.com/slatedocs/slate
meilisearch,meilisearch,33300,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,29200,https://github.com/hasura/graphql-engine
ccxt,ccxt,27200,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,26900,https://github.com/Binaryify/NeteaseCloudMusicApi
Kong,insomnia,26500,https://github.com/Kong/insomnia
httpie,httpie,26400,https://github.com/httpie/httpie
YMFE,yapi,25700,https://github.com/YMFE/yapi
encode,django-rest-framework,24900,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,23000,https://github.com/littlecodersh/ItChat
trpc,trpc,21200,https://github.com/trpc/trpc
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
microsoft,api-guidelines,20600,https://github.com/microsoft/api-guidelines
FallibleInc,security-guide-for-developers,20600,https://github.com/FallibleInc/security-guide-for-developers
