username,repo_name,stars,repo_url
bitwarden,server,11900,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,11400,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10900,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,9400,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7900,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6600,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5800,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,5700,https://github.com/RicoSuter/NSwag
dotnet,aspnet-api-versioning,2600,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2500,https://github.com/smartstore/SmartStoreNET
FastEndpoints,FastEndpoints,2500,https://github.com/FastEndpoints/FastEndpoints
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2300,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2300,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,2200,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,749,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,658,https://github.com/riganti/dotvvm
