username,repo_name,stars,repo_url
ljianshu,Blog,7500,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7200,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5500,https://github.com/developit/unfetch
olifolkerd,tabulator,5200,https://github.com/olifolkerd/tabulator
jquery-form,form,5200,https://github.com/jquery-form/form
Studio-42,elFinder,4400,https://github.com/Studio-42/elFinder
elbywan,wretch,3600,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,2900,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2900,https://github.com/ded/reqwest
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2300,https://github.com/wendux/ajax-hook
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1700,https://github.com/ptaoussanis/sente
nette,tracy,1600,https://github.com/nette/tracy
joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1500,https://github.com/loadingio/css-spinner
k8w,tsrpc,1400,https://github.com/k8w/tsrpc
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
codingforentrepreneurs,eCommerce,1400,https://github.com/codingforentrepreneurs/eCommerce
