username,repo_name,stars,repo_url
jwasham,coding-interview-university,247000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,163000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,161000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,153000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,86100,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59200,https://github.com/kdn251/interviews
azl397985856,leetcode,50400,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,50200,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,42200,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,35200,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29100,https://github.com/halfrost/LeetCode-Go
huihut,interview,27400,https://github.com/huihut/interview
crossoverJie,JCSprout,26900,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,26900,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,25100,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23200,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22100,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,20900,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20600,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,17400,https://github.com/AtsushiSakai/PythonRobotics
