username,repo_name,stars,repo_url
localstack,localstack,45000,https://github.com/localstack/localstack
serverless,serverless,43800,https://github.com/serverless/serverless
bregman-arie,devops-exercises,34100,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,24400,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,14400,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13300,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,13200,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,13200,https://github.com/aws/aws-cli
mozilla,sops,11500,https://github.com/mozilla/sops
donnemartin,awesome-aws,11000,https://github.com/donnemartin/awesome-aws
serverless-stack,sst,10000,https://github.com/serverless-stack/sst
apereo,cas,9800,https://github.com/apereo/cas
caprover,caprover,9600,https://github.com/caprover/caprover
aws,aws-cdk,9600,https://github.com/aws/aws-cdk
aws,chalice,9300,https://github.com/aws/chalice
GoogleCloudPlatform,terraformer,9100,https://github.com/GoogleCloudPlatform/terraformer
angristan,openvpn-install,9100,https://github.com/angristan/openvpn-install
aws-amplify,amplify-js,9000,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,8800,https://github.com/aws/serverless-application-model
google,go-cloud,8700,https://github.com/google/go-cloud
