username,repo_name,stars,repo_url
amphp,amp,3800,https://github.com/amphp/amp
danog,MadelineProto,2200,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,741,https://github.com/unreal4u/telegram-api
amphp,http-client,638,https://github.com/amphp/http-client
amphp,parallel,614,https://github.com/amphp/parallel
php-service-bus,service-bus,334,https://github.com/php-service-bus/service-bus
amphp,byte-stream,316,https://github.com/amphp/byte-stream
amphp,mysql,296,https://github.com/amphp/mysql
amphp,parallel-functions,236,https://github.com/amphp/parallel-functions
amphp,process,198,https://github.com/amphp/process
amphp,socket,177,https://github.com/amphp/socket
amphp,redis,134,https://github.com/amphp/redis
amphp,dns,129,https://github.com/amphp/dns
amphp,sync,126,https://github.com/amphp/sync
kelunik,acme,117,https://github.com/kelunik/acme
amphp,websocket-client,111,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,serialization,91,https://github.com/amphp/serialization
amphp,websocket-server,88,https://github.com/amphp/websocket-server
