username,repo_name,stars,repo_url
flutter,flutter,147000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,97500,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,73700,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,58800,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46900,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,44700,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,44200,https://github.com/Solido/awesome-flutter
square,okhttp,43200,https://github.com/square/okhttp
android,architecture-samples,41900,https://github.com/android/architecture-samples
square,retrofit,40900,https://github.com/square/retrofit
dcloudio,uni-app,37500,https://github.com/dcloudio/uni-app
fastlane,fastlane,36100,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35900,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33400,https://github.com/airbnb/lottie-android
laurent22,joplin,33300,https://github.com/laurent22/joplin
bumptech,glide,33200,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,33100,https://github.com/shadowsocks/shadowsocks-android
skylot,jadx,32400,https://github.com/skylot/jadx
Blankj,AndroidUtilCode,31600,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,31600,https://github.com/xitu/gold-miner
