username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,99700,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,86300,https://github.com/angular/angular
storybookjs,storybook,76700,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,54900,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48600,https://github.com/ionic-team/ionic-framework
prettier,prettier,44800,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,33200,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,32200,https://github.com/SheetJS/sheetjs
angular,angular-cli,25900,https://github.com/angular/angular-cli
angular,components,23300,https://github.com/angular/components
NativeScript,NativeScript,22200,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,20600,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20300,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,18800,https://github.com/pubkey/rxdb
nrwl,nx,16500,https://github.com/nrwl/nx
teambit,bit,16300,https://github.com/teambit/bit
sweetalert2,sweetalert2,15500,https://github.com/sweetalert2/sweetalert2
sudheerj,javascript-interview-questions,14300,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,14000,https://github.com/wailsapp/wails
codesandbox,codesandbox-client,12200,https://github.com/codesandbox/codesandbox-client
