username,repo_name,stars,repo_url
ansible,ansible,56200,https://github.com/ansible/ansible
bregman-arie,devops-exercises,39700,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,26800,https://github.com/trailofbits/algo
StreisandEffect,streisand,22900,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,21400,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,13500,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11900,https://github.com/ansible/awx
easzlab,kubeasz,8800,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6600,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6600,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,6300,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,5600,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4800,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4600,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4100,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3900,https://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,3500,https://github.com/ansible-community/molecule
litmuschaos,litmus,3500,https://github.com/litmuschaos/litmus
opendevops-cn,opendevops,3400,https://github.com/opendevops-cn/opendevops
