username,repo_name,stars,repo_url
sindresorhus,awesome,238000,https://github.com/sindresorhus/awesome
vinta,awesome-python,156000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,118000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,96200,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,89400,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,69600,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,64800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,61300,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,57700,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,53400,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,49600,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,48300,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,45500,https://github.com/prakhar1989/awesome-courses
wasabeef,awesome-android-ui,45400,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,45300,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,43700,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,43600,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,41800,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,39400,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,37300,https://github.com/dypsilon/frontend-dev-bookmarks
