username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,121000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,63000,https://github.com/nvm-sh/nvm
junegunn,fzf,48500,https://github.com/junegunn/fzf
google,zx,35300,https://github.com/google/zx
dylanaraps,pure-bash-bible,32600,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,31500,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,31000,https://github.com/starship/starship
koalaman,shellcheck,30700,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,29500,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28500,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,25700,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,22000,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,20800,https://github.com/withfig/autocomplete
dylanaraps,neofetch,16700,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16200,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14600,https://github.com/rbenv/rbenv
powerline,powerline,13600,https://github.com/powerline/powerline
shelljs,shelljs,13600,https://github.com/shelljs/shelljs
Bash-it,bash-it,13300,https://github.com/Bash-it/bash-it
faressoft,terminalizer,13100,https://github.com/faressoft/terminalizer
