username,repo_name,stars,repo_url
microsoft,calculator,26300,https://github.com/microsoft/calculator
files-community,Files,25300,https://github.com/files-community/Files
ShareX,ShareX,22300,https://github.com/ShareX/ShareX
mxgmn,WaveFunctionCollapse,20300,https://github.com/mxgmn/WaveFunctionCollapse
jellyfin,jellyfin,18600,https://github.com/jellyfin/jellyfin
doocs,leetcode,18200,https://github.com/doocs/leetcode
dotnet,corefx,17900,https://github.com/dotnet/corefx
thangchung,awesome-dotnet-core,17200,https://github.com/thangchung/awesome-dotnet-core
dotnet,roslyn,16700,https://github.com/dotnet/roslyn
AvaloniaUI,Avalonia,16100,https://github.com/AvaloniaUI/Avalonia
quozd,awesome-dotnet,15700,https://github.com/quozd/awesome-dotnet
Ryujinx,Ryujinx,15000,https://github.com/Ryujinx/Ryujinx
pulumi,pulumi,14400,https://github.com/pulumi/pulumi
antlr,antlr4,13500,https://github.com/antlr/antlr4
veler,DevToys,12300,https://github.com/veler/DevToys
OpenRA,OpenRA,12100,https://github.com/OpenRA/OpenRA
ardalis,CleanArchitecture,11600,https://github.com/ardalis/CleanArchitecture
BeyondDimension,SteamTools,11300,https://github.com/BeyondDimension/SteamTools
bitwarden,server,11100,https://github.com/bitwarden/server
aspnetboilerplate,aspnetboilerplate,10800,https://github.com/aspnetboilerplate/aspnetboilerplate
