username,repo_name,stars,repo_url
CyC2018,CS-Notes,159000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,83000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,50000,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,42100,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39500,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,33800,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,28900,https://github.com/carbon-language/carbon-lang
huihut,interview,26800,https://github.com/huihut/interview
microsoft,calculator,26300,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,25500,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,22900,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,22500,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,19300,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,19000,https://github.com/ethereum/solidity
doocs,leetcode,18200,https://github.com/doocs/leetcode
microsoft,vcpkg,17300,https://github.com/microsoft/vcpkg
gabime,spdlog,16300,https://github.com/gabime/spdlog
dragonflydb,dragonfly,16300,https://github.com/dragonflydb/dragonfly
catchorg,Catch2,15900,https://github.com/catchorg/Catch2
ssloy,tinyrenderer,15400,https://github.com/ssloy/tinyrenderer
