username,repo_name,stars,repo_url
Genymobile,scrcpy,76600,https://github.com/Genymobile/scrcpy
neovim,neovim,62200,https://github.com/neovim/neovim
obsproject,obs-studio,45500,https://github.com/obsproject/obs-studio
git,git,45200,https://github.com/git/git
fffaraz,awesome-cpp,43700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,34100,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,34000,https://github.com/FFmpeg/FFmpeg
vim,vim,29500,https://github.com/vim/vim
curl,curl,28400,https://github.com/curl/curl
huihut,interview,27400,https://github.com/huihut/interview
ggreer,the_silver_searcher,24600,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,21700,https://github.com/pbatard/rufus
mpv-player,mpv,21400,https://github.com/mpv-player/mpv
ossrs,srs,20700,https://github.com/ossrs/srs
ruby,ruby,19900,https://github.com/ruby/ruby
google,flatbuffers,19900,https://github.com/google/flatbuffers
oracle,graal,18200,https://github.com/oracle/graal
microsoft,vcpkg,17800,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,17700,https://github.com/kovidgoyal/kitty
radareorg,radare2,17500,https://github.com/radareorg/radare2
