username,repo_name,stars,repo_url
twbs,bootstrap,161000,https://github.com/twbs/bootstrap
electron,electron,105000,https://github.com/electron/electron
animate-css,animate.css,76500,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,70500,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,63000,https://github.com/thedaviddias/Front-End-Checklist
tailwindlabs,tailwindcss,62800,https://github.com/tailwindlabs/tailwindcss
microsoft,Web-Dev-For-Beginners,60800,https://github.com/microsoft/Web-Dev-For-Beginners
h5bp,html5-boilerplate,53700,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,49200,https://github.com/necolas/normalize.css
jgthms,bulma,46500,https://github.com/jgthms/bulma
prettier,prettier,44400,https://github.com/prettier/prettier
juliangarnier,anime,43800,https://github.com/juliangarnier/anime
parcel-bundler,parcel,41700,https://github.com/parcel-bundler/parcel
vercel,hyper,39800,https://github.com/vercel/hyper
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
styled-components,styled-components,37800,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,36000,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,34000,https://github.com/evanw/esbuild
tabler,tabler,32200,https://github.com/tabler/tabler
Asabeneh,30-Days-Of-JavaScript,30600,https://github.com/Asabeneh/30-Days-Of-JavaScript
