username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,31100,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,22000,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,19400,https://github.com/refined-github/refined-github
darkreader,darkreader,15500,https://github.com/darkreader/darkreader
checkly,headless-recorder,14600,https://github.com/checkly/headless-recorder
unbug,codelf,13300,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,10500,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,10100,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9700,https://github.com/gildas-lormeau/SingleFile
dailydotdev,daily,9300,https://github.com/dailydotdev/daily
listen1,listen1_chrome_extension,9300,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,8000,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7800,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6500,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6000,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,5900,https://github.com/AutomaApp/automa
alyssaxuu,omni,5700,https://github.com/alyssaxuu/omni
dessant,buster,5400,https://github.com/dessant/buster
manojVivek,medium-unlimited,5100,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4700,https://github.com/webclipper/web-clipper
