username,repo_name,stars,repo_url
realm,SwiftLint,17000,https://github.com/realm/SwiftLint
facebook,infer,13800,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,10900,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,8600,https://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,7500,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,7500,https://github.com/SonarSource/sonarqube
facebook,pyre-check,6200,https://github.com/facebook/pyre-check
reviewdog,reviewdog,6000,https://github.com/reviewdog/reviewdog
detekt,detekt,5200,https://github.com/detekt/detekt
import-js,eslint-plugin-import,4600,https://github.com/import-js/eslint-plugin-import
simplecov-ruby,simplecov,4600,https://github.com/simplecov-ruby/simplecov
PyCQA,pylint,4500,https://github.com/PyCQA/pylint
pmd,pmd,4200,https://github.com/pmd/pmd
trekhleb,state-of-the-art-shitcode,4000,https://github.com/trekhleb/state-of-the-art-shitcode
phpro,grumphp,3900,https://github.com/phpro/grumphp
kucherenko,jscpd,3000,https://github.com/kucherenko/jscpd
htmlhint,HTMLHint,2900,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2400,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2100,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://github.com/uber/piranha
