username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,153000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,48500,https://github.com/junegunn/fzf
sharkdp,bat,38400,https://github.com/sharkdp/bat
sherlock-project,sherlock,37600,https://github.com/sherlock-project/sherlock
google,zx,35300,https://github.com/google/zx
wagoodman,dive,34700,https://github.com/wagoodman/dive
BurntSushi,ripgrep,34500,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,33600,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,31300,https://github.com/jesseduffield/lazygit
cli,cli,30600,https://github.com/cli/cli
spf13,cobra,29800,https://github.com/spf13/cobra
n8n-io,n8n,26800,https://github.com/n8n-io/n8n
angular,angular-cli,25800,https://github.com/angular/angular-cli
alebcay,awesome-shell,25700,https://github.com/alebcay/awesome-shell
sharkdp,fd,25500,https://github.com/sharkdp/fd
httpie,httpie,25100,https://github.com/httpie/httpie
ibraheemdev,modern-unix,24900,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,23500,https://github.com/tqdm/tqdm
google,python-fire,23400,https://github.com/google/python-fire
vercel,pkg,22400,https://github.com/vercel/pkg
