username,repo_name,stars,repo_url
vercel,next.js,101000,https://github.com/vercel/next.js
rust-lang,rust,77700,https://github.com/rust-lang/rust
sveltejs,svelte,65600,https://github.com/sveltejs/svelte
webpack,webpack,62500,https://github.com/webpack/webpack
gatsbyjs,gatsby,54100,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,43900,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42000,https://github.com/parcel-bundler/parcel
babel,babel,41900,https://github.com/babel/babel
evanw,esbuild,34600,https://github.com/evanw/esbuild
vlang,v,31300,https://github.com/vlang/v
carbon-language,carbon-lang,29500,https://github.com/carbon-language/carbon-lang
markedjs,marked,29100,https://github.com/markedjs/marked
swc-project,swc,26000,https://github.com/swc-project/swc
vercel,pkg,22800,https://github.com/vercel/pkg
v8,v8,20800,https://github.com/v8/v8
ziglang,zig,19900,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,15100,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,14600,https://github.com/nim-lang/Nim
RustPython,RustPython,13600,https://github.com/RustPython/RustPython
Konloch,bytecode-viewer,13500,https://github.com/Konloch/bytecode-viewer
