username,repo_name,stars,repo_url
localstack,localstack,45800,https://github.com/localstack/localstack
harness,drone,26500,https://github.com/harness/drone
jenkinsci,jenkins,20300,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12600,https://github.com/auchenberg/volkswagen
theonedev,onedev,10800,https://github.com/theonedev/onedev
openshift,origin,8300,https://github.com/openshift/origin
dagger,dagger,7700,https://github.com/dagger/dagger
concourse,concourse,6800,https://github.com/concourse/concourse
gocd,gocd,6700,https://github.com/gocd/gocd
buildbot,buildbot,5000,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5000,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4300,https://github.com/jenkins-x/jx
ovh,cds,4100,https://github.com/ovh/cds
milanm,DevOps-Roadmap,4100,https://github.com/milanm/DevOps-Roadmap
xcpretty,xcpretty,3800,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
iterative,cml,3600,https://github.com/iterative/cml
cake-build,cake,3500,https://github.com/cake-build/cake
werf,werf,3500,https://github.com/werf/werf
