username,repo_name,stars,repo_url
bitcoin,bitcoin,67200,https://github.com/bitcoin/bitcoin
ccxt,ccxt,26500,https://github.com/ccxt/ccxt
freqtrade,freqtrade,20000,https://github.com/freqtrade/freqtrade
OpenBB-finance,OpenBBTerminal,18200,https://github.com/OpenBB-finance/OpenBBTerminal
monero-project,monero,7500,https://github.com/monero-project/monero
xmrig,xmrig,7300,https://github.com/xmrig/xmrig
dvf,blockchain,7200,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6600,https://github.com/lightningnetwork/lnd
tendermint,tendermint,5300,https://github.com/tendermint/tendermint
StockSharp,StockSharp,5300,https://github.com/StockSharp/StockSharp
sea-protocol,seaprotocol,5100,https://github.com/sea-protocol/seaprotocol
hummingbot,hummingbot,5000,https://github.com/hummingbot/hummingbot
mimblewimble,grin,5000,https://github.com/mimblewimble/grin
sammchardy,python-binance,5000,https://github.com/sammchardy/python-binance
cosmos,cosmos-sdk,4800,https://github.com/cosmos/cosmos-sdk
jesse-ai,jesse,4300,https://github.com/jesse-ai/jesse
chrisleekr,binance-trading-bot,4200,https://github.com/chrisleekr/binance-trading-bot
litecoin-project,litecoin,4100,https://github.com/litecoin-project/litecoin
coinpride,CryptoList,3900,https://github.com/coinpride/CryptoList
