username,repo_name,stars,repo_url
crystal-lang,crystal,18000,https://github.com/crystal-lang/crystal
kemalcr,kemal,3400,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3100,https://github.com/veelenga/awesome-crystal
amberframework,amber,2400,https://github.com/amberframework/amber
luckyframework,lucky,2400,https://github.com/luckyframework/lucky
getmango,Mango,1200,https://github.com/getmango/Mango
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,797,https://github.com/drujensen/fib
amethyst-framework,amethyst,645,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,530,https://github.com/askn/crystal-by-example
crystal-community,icr,485,https://github.com/crystal-community/icr
crystal-ameba,ameba,441,https://github.com/crystal-ameba/ameba
will,crystal-pg,431,https://github.com/will/crystal-pg
imdrasil,jennifer.cr,387,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,385,https://github.com/vim-crystal/vim-crystal
stefanwille,crystal-redis,377,https://github.com/stefanwille/crystal-redis
crystal-lang,crystal-book,350,https://github.com/crystal-lang/crystal-book
cooperhammond,irs,349,https://github.com/cooperhammond/irs
Crecto,crecto,341,https://github.com/Crecto/crecto
crystal-lang-tools,scry,330,https://github.com/crystal-lang-tools/scry
