username,repo_name,stars,repo_url
jwasham,coding-interview-university,247000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,163000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,114000,https://github.com/labuladong/fucking-algorithm
azl397985856,leetcode,50400,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,50200,https://github.com/TheAlgorithms/Java
huihut,interview,27400,https://github.com/huihut/interview
kodecocodes,swift-algorithm-club,27400,https://github.com/kodecocodes/swift-algorithm-club
TheAlgorithms,JavaScript,25100,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23200,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,C,15500,https://github.com/TheAlgorithms/C
TheAlgorithms,Rust,14400,https://github.com/TheAlgorithms/Rust
OI-wiki,OI-wiki,13200,https://github.com/OI-wiki/OI-wiki
TheAlgorithms,Go,12100,https://github.com/TheAlgorithms/Go
kunal-kushwaha,DSA-Bootcamp-Java,10700,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
careercup,CtCI-6th-Edition,10500,https://github.com/careercup/CtCI-6th-Edition
gyoogle,tech-interview-for-developer,9700,https://github.com/gyoogle/tech-interview-for-developer
AkashSingh3031,The-Complete-FAANG-Preparation,8700,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
krahets,hello-algo,8000,https://github.com/krahets/hello-algo
seanprashad,leetcode-patterns,7800,https://github.com/seanprashad/leetcode-patterns
amejiarosario,dsa.js-data-structures-algorithms-javascript,7100,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
