username,repo_name,stars,repo_url
d3,d3,104000,https://github.com/d3/d3
apache,echarts,54100,https://github.com/apache/echarts
grafana,grafana,53900,https://github.com/grafana/grafana
apache,superset,50500,https://github.com/apache/superset
pixijs,pixijs,38900,https://github.com/pixijs/pixijs
metabase,metabase,31400,https://github.com/metabase/metabase
streamlit,streamlit,22600,https://github.com/streamlit/streamlit
academic,awesome-datascience,20700,https://github.com/academic/awesome-datascience
directus,directus,20200,https://github.com/directus/directus
plotly,dash,18100,https://github.com/plotly/dash
microsoft,Data-Science-For-Beginners,17900,https://github.com/microsoft/Data-Science-For-Beginners
matplotlib,matplotlib,16900,https://github.com/matplotlib/matplotlib
airbnb,visx,16700,https://github.com/airbnb/visx
plotly,plotly.js,15400,https://github.com/plotly/plotly.js
ml-tooling,best-of-ml-python,12700,https://github.com/ml-tooling/best-of-ml-python
gradio-app,gradio,12400,https://github.com/gradio-app/gradio
apexcharts,apexcharts.js,12200,https://github.com/apexcharts/apexcharts.js
newTendermint,awesome-bigdata,11700,https://github.com/newTendermint/awesome-bigdata
terkelg,awesome-creative-coding,10600,https://github.com/terkelg/awesome-creative-coding
visgl,deck.gl,10600,https://github.com/visgl/deck.gl
