username,repo_name,stars,repo_url
etcd-io,etcd,42500,https://github.com/etcd-io/etcd
pingcap,tidb,33400,https://github.com/pingcap/tidb
meilisearch,meilisearch,33300,https://github.com/meilisearch/meilisearch
LeCoupa,awesome-cheatsheets,32299,https://github.com/LeCoupa/awesome-cheatsheets
SheetJS,sheetjs,32200,https://github.com/SheetJS/sheetjs
metabase,metabase,31400,https://github.com/metabase/metabase
dbeaver,dbeaver,30400,https://github.com/dbeaver/dbeaver
typeorm,typeorm,30400,https://github.com/typeorm/typeorm
prisma,prisma,29000,https://github.com/prisma/prisma
huihut,interview,27400,https://github.com/huihut/interview
cockroachdb,cockroach,26600,https://github.com/cockroachdb/cockroach
sqlmapproject,sqlmap,26100,https://github.com/sqlmapproject/sqlmap
influxdata,influxdb,24900,https://github.com/influxdata/influxdb
facebook,rocksdb,24500,https://github.com/facebook/rocksdb
mongodb,mongo,23200,https://github.com/mongodb/mongo
taosdata,TDengine,20800,https://github.com/taosdata/TDengine
directus,directus,20200,https://github.com/directus/directus
PostgREST,postgrest,20000,https://github.com/PostgREST/postgrest
typicode,lowdb,19100,https://github.com/typicode/lowdb
dgraph-io,dgraph,18900,https://github.com/dgraph-io/dgraph
