username,repo_name,stars,repo_url
tensorflow,tensorflow,169000,https://github.com/tensorflow/tensorflow
huggingface,transformers,75300,https://github.com/huggingface/transformers
opencv,opencv,65200,https://github.com/opencv/opencv
pytorch,pytorch,60700,https://github.com/pytorch/pytorch
keras-team,keras,56800,https://github.com/keras-team/keras
deepfakes,faceswap,42900,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,42400,https://github.com/aymericdamien/TensorFlow-Examples
Avik-Jain,100-Days-Of-ML-Code,39100,https://github.com/Avik-Jain/100-Days-Of-ML-Code
CorentinJ,Real-Time-Voice-Cloning,38100,https://github.com/CorentinJ/Real-Time-Voice-Cloning
d2l-ai,d2l-zh,36600,https://github.com/d2l-ai/d2l-zh
iperov,DeepFaceLab,36000,https://github.com/iperov/DeepFaceLab
floodsung,Deep-Learning-Papers-Reading-Roadmap,34400,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
ultralytics,yolov5,33400,https://github.com/ultralytics/yolov5
BVLC,caffe,33000,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,31800,https://github.com/GokuMohandas/Made-With-ML
naptha,tesseract.js,28800,https://github.com/naptha/tesseract.js
ZuzooVn,machine-learning-for-software-engineers,26300,https://github.com/ZuzooVn/machine-learning-for-software-engineers
CMU-Perceptual-Computing-Lab,openpose,25500,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yunjey,pytorch-tutorial,25300,https://github.com/yunjey/pytorch-tutorial
babysor,MockingBird,25200,https://github.com/babysor/MockingBird
