username,repo_name,stars,repo_url
GetStream,vg,1300,https://github.com/GetStream/vg
ehmicky,nve,601,https://github.com/ehmicky/nve
coenjacobs,mozart,361,https://github.com/coenjacobs/mozart
thoth-station,micropipenv,198,https://github.com/thoth-station/micropipenv
netlify,framework-info,126,https://github.com/netlify/framework-info
bureado,awesome-software-supply-chain-security,117,https://github.com/bureado/awesome-software-supply-chain-security
aaronpeikert,reproducible-research,116,https://github.com/aaronpeikert/reproducible-research
momosecurity,mosec-maven-plugin,85,https://github.com/momosecurity/mosec-maven-plugin
pichillilorenzo,deps-report,84,https://github.com/pichillilorenzo/deps-report
silverwind,updates,79,https://github.com/silverwind/updates
stempler,bnd-platform,78,https://github.com/stempler/bnd-platform
abdes,asap,63,https://github.com/abdes/asap
ewohltman,graphdot,49,https://github.com/ewohltman/graphdot
kevcodez,gradle-upgrade-interactive,48,https://github.com/kevcodez/gradle-upgrade-interactive
MarcoEidinger,swift-package-dependencies-check,48,https://github.com/MarcoEidinger/swift-package-dependencies-check
Zlagi,Blogfy,46,https://github.com/Zlagi/Blogfy
depscloud,depscloud,42,https://github.com/depscloud/depscloud
saadmk11,github-actions-version-updater,40,https://github.com/saadmk11/github-actions-version-updater
pilosus,pip-license-checker,34,https://github.com/pilosus/pip-license-checker
ehmicky,nvexeca,32,https://github.com/ehmicky/nvexeca
