username,repo_name,stars,repo_url
fastlane,fastlane,36400,https://github.com/fastlane/fastlane
ray-project,ray,24000,https://github.com/ray-project/ray
capistrano,capistrano,12400,https://github.com/capistrano/capistrano
caprover,caprover,9900,https://github.com/caprover/caprover
deployphp,deployer,9800,https://github.com/deployphp/deployer
apex,up,8700,https://github.com/apex/up
AppImage,AppImageKit,7700,https://github.com/AppImage/AppImageKit
dagger,dagger,7700,https://github.com/dagger/dagger
chef,chef,7100,https://github.com/chef/chef
node-config,node-config,5900,https://github.com/node-config/node-config
StackStorm,st2,5400,https://github.com/StackStorm/st2
shipitjs,shipit,5300,https://github.com/shipitjs/shipit
gaia-pipeline,gaia,5000,https://github.com/gaia-pipeline/gaia
rundeck,rundeck,4800,https://github.com/rundeck/rundeck
gitname,react-gh-pages,4600,https://github.com/gitname/react-gh-pages
vmware-tanzu,kubeapps,4500,https://github.com/vmware-tanzu/kubeapps
meefik,linuxdeploy,4500,https://github.com/meefik/linuxdeploy
mina-deploy,mina,4300,https://github.com/mina-deploy/mina
PaddlePaddle,PaddleX,4100,https://github.com/PaddlePaddle/PaddleX
Triple-T,gradle-play-publisher,3900,https://github.com/Triple-T/gradle-play-publisher
