username,repo_name,stars,repo_url
django,django,68700,https://github.com/django/django
getsentry,sentry,33300,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,32299,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,24900,https://github.com/encode/django-rest-framework
kataras,iris,23500,https://github.com/kataras/iris
jumpserver,jumpserver,19800,https://github.com/jumpserver/jumpserver
saleor,saleor,18000,https://github.com/saleor/saleor
wagtail,wagtail,14100,https://github.com/wagtail/wagtail
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
ansible,awx,11900,https://github.com/ansible/awx
cookiecutter,cookiecutter-django,10200,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,9100,https://github.com/django-cms/django-cms
wsvincent,awesome-django,6600,https://github.com/wsvincent/awesome-django
healthchecks,healthchecks,5900,https://github.com/healthchecks/healthchecks
django-oscar,django-oscar,5600,https://github.com/django-oscar/django-oscar
graphite-project,graphite-web,5600,https://github.com/graphite-project/graphite-web
arachnys,cabot,5400,https://github.com/arachnys/cabot
jonaswinkler,paperless-ng,5400,https://github.com/jonaswinkler/paperless-ng
QingdaoU,OnlineJudge,5200,https://github.com/QingdaoU/OnlineJudge
LibrePhotos,librephotos,5200,https://github.com/LibrePhotos/librephotos
