username,repo_name,stars,repo_url
moby,moby,64599,https://github.com/moby/moby
macrozheng,mall,62500,https://github.com/macrozheng/mall
netdata,netdata,61300,https://github.com/netdata/netdata
traefik,traefik,40600,https://github.com/traefik/traefik
mastodon,mastodon,37100,https://github.com/mastodon/mastodon
wagoodman,dive,34700,https://github.com/wagoodman/dive
bregman-arie,devops-exercises,34100,https://github.com/bregman-arie/devops-exercises
Kong,kong,33500,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,31500,https://github.com/LeCoupa/awesome-cheatsheets
ityouknow,spring-boot-examples,28300,https://github.com/ityouknow/spring-boot-examples
docker,compose,27900,https://github.com/docker/compose
appwrite,appwrite,27600,https://github.com/appwrite/appwrite
n8n-io,n8n,26800,https://github.com/n8n-io/n8n
harness,drone,26100,https://github.com/harness/drone
sickcodes,Docker-OSX,24900,https://github.com/sickcodes/Docker-OSX
dokku,dokku,24000,https://github.com/dokku/dokku
portainer,portainer,23800,https://github.com/portainer/portainer
louislam,uptime-kuma,23800,https://github.com/louislam/uptime-kuma
veggiemonk,awesome-docker,23600,https://github.com/veggiemonk/awesome-docker
openfaas,faas,22400,https://github.com/openfaas/faas
