username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,121000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,75400,https://github.com/storybookjs/storybook
mermaid-js,mermaid,51900,https://github.com/mermaid-js/mermaid
tldr-pages,tldr,41800,https://github.com/tldr-pages/tldr
facebook,docusaurus,40200,https://github.com/facebook/docusaurus
chubin,cheat.sh,33600,https://github.com/chubin/cheat.sh
satwikkansal,wtfpython,32000,https://github.com/satwikkansal/wtfpython
freeCodeCamp,devdocs,30300,https://github.com/freeCodeCamp/devdocs
doczjs,docz,23000,https://github.com/doczjs/docz
docsifyjs,docsify,22200,https://github.com/docsifyjs/docsify
charlax,professional-programming,22000,https://github.com/charlax/professional-programming
shimohq,chinese-programmer-wrong-pronunciation,19500,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
requarks,wiki,19200,https://github.com/requarks/wiki
nhn,tui.editor,15400,https://github.com/nhn/tui.editor
mkdocs,mkdocs,15400,https://github.com/mkdocs/mkdocs
SimulatedGREG,electron-vue,15100,https://github.com/SimulatedGREG/electron-vue
jsdoc,jsdoc,13300,https://github.com/jsdoc/jsdoc
pandao,editor.md,12700,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,12200,https://github.com/sparanoid/chinese-copywriting-guidelines
squidfunk,mkdocs-material,11900,https://github.com/squidfunk/mkdocs-material
