username,repo_name,stars,repo_url
airbnb,javascript,129000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,83800,https://github.com/goldbergyoni/nodebestpractices
standard,standard,27700,https://github.com/standard/standard
eslint,eslint,21800,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,20600,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,19400,https://github.com/verekia/js-stack-from-scratch
grab,front-end-guide,14700,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,12600,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,11200,https://github.com/okonet/lint-staged
jsx-eslint,eslint-plugin-react,8200,https://github.com/jsx-eslint/eslint-plugin-react
xojs,xo,7000,https://github.com/xojs/xo
microsoft,rushstack,4600,https://github.com/microsoft/rushstack
bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
import-js,eslint-plugin-import,4400,https://github.com/import-js/eslint-plugin-import
emacs-lsp,lsp-mode,4200,https://github.com/emacs-lsp/lsp-mode
prettier,eslint-config-prettier,4200,https://github.com/prettier/eslint-config-prettier
vuejs,eslint-plugin-vue,3900,https://github.com/vuejs/eslint-plugin-vue
prettier,prettier-eslint,3700,https://github.com/prettier/prettier-eslint
dustinspecker,awesome-eslint,3300,https://github.com/dustinspecker/awesome-eslint
jsx-eslint,eslint-plugin-jsx-a11y,3000,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
