username,repo_name,stars,repo_url
microsoft,vscode,140000,https://github.com/microsoft/vscode
electron,electron,105000,https://github.com/electron/electron
atom,atom,58800,https://github.com/atom/atom
microsoft,playwright,45200,https://github.com/microsoft/playwright
Fndroid,clash_for_windows_pkg,40500,https://github.com/Fndroid/clash_for_windows_pkg
marktext,marktext,37300,https://github.com/marktext/marktext
GitSquared,edex-ui,36300,https://github.com/GitSquared/edex-ui
agalwood,Motrix,34600,https://github.com/agalwood/Motrix
laurent22,joplin,33300,https://github.com/laurent22/joplin
nativefier,nativefier,32299,https://github.com/nativefier/nativefier
typeorm,typeorm,29900,https://github.com/typeorm/typeorm
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,23800,https://github.com/sindresorhus/awesome-electron
quasarframework,quasar,22500,https://github.com/quasarframework/quasar
notable,notable,20600,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,20600,https://github.com/electron-react-boilerplate/electron-react-boilerplate
qier222,YesPlayMusic,20200,https://github.com/qier222/YesPlayMusic
railsware,upterm,19400,https://github.com/railsware/upterm
segmentio,nightmare,19300,https://github.com/segmentio/nightmare
Molunerfinn,PicGo,18900,https://github.com/Molunerfinn/PicGo
