username,repo_name,stars,repo_url
phoenixframework,phoenix,18800,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,16200,https://github.com/asdf-vm/asdf
plausible,analytics,13200,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,8700,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6400,https://github.com/oldratlee/translations
supabase,realtime,5500,https://github.com/supabase/realtime
papercups-io,papercups,5100,https://github.com/papercups-io/papercups
rrrene,credo,4500,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,4100,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,4000,https://github.com/absinthe-graphql/absinthe
rusterlium,rustler,3500,https://github.com/rusterlium/rustler
elixirschool,elixirschool,3300,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3300,https://github.com/ueberauth/guardian
livebook-dev,livebook,3100,https://github.com/livebook-dev/livebook
dependabot,dependabot-core,3000,https://github.com/dependabot/dependabot-core
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
build-trust,ockam,2700,https://github.com/build-trust/ockam
thechangelog,changelog.com,2500,https://github.com/thechangelog/changelog.com
blockscout,blockscout,2100,https://github.com/blockscout/blockscout
