username,repo_name,stars,repo_url
syl20bnr,spacemacs,22800,https://github.com/syl20bnr/spacemacs
doomemacs,doomemacs,16000,https://github.com/doomemacs/doomemacs
atlas-engineer,nyxt,8200,https://github.com/atlas-engineer/nyxt
emacs-tw,awesome-emacs,7600,https://github.com/emacs-tw/awesome-emacs
mickael-kerjean,filestash,7400,https://github.com/mickael-kerjean/filestash
magit,magit,5900,https://github.com/magit/magit
bbatsov,prelude,4900,https://github.com/bbatsov/prelude
remacs,remacs,4500,https://github.com/remacs/remacs
emacs-lsp,lsp-mode,4300,https://github.com/emacs-lsp/lsp-mode
jwiegley,use-package,4100,https://github.com/jwiegley/use-package
bbatsov,projectile,3700,https://github.com/bbatsov/projectile
clojure-emacs,cider,3400,https://github.com/clojure-emacs/cider
emacs-helm,helm,3200,https://github.com/emacs-helm/helm
emacs-evil,evil,2800,https://github.com/emacs-evil/evil
emacs-eaf,emacs-application-framework,2500,https://github.com/emacs-eaf/emacs-application-framework
radian-software,straight.el,2300,https://github.com/radian-software/straight.el
for-GET,know-your-http-well,2300,https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2300,https://github.com/flycheck/flycheck
200ok-ch,organice,2100,https://github.com/200ok-ch/organice
abo-abo,swiper,2100,https://github.com/abo-abo/swiper
