username,repo_name,stars,repo_url
yuzu-emu,yuzu,23800,https://github.com/yuzu-emu/yuzu
copy,v86,17300,https://github.com/copy/v86
Ryujinx,Ryujinx,16400,https://github.com/Ryujinx/Ryujinx
OpenEmu,OpenEmu,14700,https://github.com/OpenEmu/OpenEmu
ish-app,ish,13400,https://github.com/ish-app/ish
skyline-emu,skyline,11900,https://github.com/skyline-emu/skyline
ruffle-rs,ruffle,11500,https://github.com/ruffle-rs/ruffle
dolphin-emu,dolphin,9500,https://github.com/dolphin-emu/dolphin
amitshekhariitbhu,Android-Debug-Database,8100,https://github.com/amitshekhariitbhu/Android-Debug-Database
citra-emu,citra,8100,https://github.com/citra-emu/citra
felixrieseberg,macintosh.js,8000,https://github.com/felixrieseberg/macintosh.js
PCSX2,pcsx2,7900,https://github.com/PCSX2/pcsx2
xenia-project,xenia,6500,https://github.com/xenia-project/xenia
unicorn-engine,unicorn,6100,https://github.com/unicorn-engine/unicorn
bfirsh,jsnes,5600,https://github.com/bfirsh/jsnes
budtmo,docker-android,5400,https://github.com/budtmo/docker-android
Provenance-Emu,Provenance,5100,https://github.com/Provenance-Emu/Provenance
mininet,mininet,4700,https://github.com/mininet/mininet
stenzek,duckstation,4500,https://github.com/stenzek/duckstation
HFO4,gameboy.live,4500,https://github.com/HFO4/gameboy.live
