username,repo_name,stars,repo_url
ethereum,go-ethereum,40400,https://github.com/ethereum/go-ethereum
ccxt,ccxt,26500,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,20800,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,19000,https://github.com/ethereum/solidity
ethereumbook,ethereumbook,16800,https://github.com/ethereumbook/ethereumbook
web3,web3.js,16600,https://github.com/web3/web3.js
trufflesuite,truffle,13700,https://github.com/trufflesuite/truffle
smartcontractkit,full-blockchain-solidity-course-py,9300,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
MetaMask,metamask-extension,9100,https://github.com/MetaMask/metamask-extension
scaffold-eth,scaffold-eth,8200,https://github.com/scaffold-eth/scaffold-eth
OffcierCia,DeFi-Developer-Road-Map,7800,https://github.com/OffcierCia/DeFi-Developer-Road-Map
ethereum,mist,7400,https://github.com/ethereum/mist
openethereum,parity-ethereum,6700,https://github.com/openethereum/parity-ethereum
smartcontractkit,full-blockchain-solidity-course-js,6600,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
yeasy,blockchain_guide,6300,https://github.com/yeasy/blockchain_guide
ConsenSys,smart-contract-best-practices,6300,https://github.com/ConsenSys/smart-contract-best-practices
capstone-engine,capstone,6000,https://github.com/capstone-engine/capstone
ethers-io,ethers.js,6000,https://github.com/ethers-io/ethers.js
bkrem,awesome-solidity,5500,https://github.com/bkrem/awesome-solidity
NomicFoundation,hardhat,4900,https://github.com/NomicFoundation/hardhat
