username,repo_name,stars,repo_url
supabase,supabase,45500,https://github.com/supabase/supabase
appwrite,appwrite,29200,https://github.com/appwrite/appwrite
kriasoft,react-starter-kit,21700,https://github.com/kriasoft/react-starter-kit
pubkey,rxdb,18800,https://github.com/pubkey/rxdb
firebase,functions-samples,11500,https://github.com/firebase/functions-samples
invertase,react-native-firebase,10600,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,8400,https://github.com/firebase/quickstart-android
firebase,flutterfire,7500,https://github.com/firebase/flutterfire
angular,angularfire,7400,https://github.com/angular/angularfire
nhost,nhost,6000,https://github.com/nhost/nhost
microg,GmsCore,5400,https://github.com/microg/GmsCore
Th3Wall,Fakeflix,4800,https://github.com/Th3Wall/Fakeflix
firebase,FirebaseUI-Android,4500,https://github.com/firebase/FirebaseUI-Android
kriasoft,react-firebase-starter,4400,https://github.com/kriasoft/react-firebase-starter
firebase,firebase-js-sdk,4400,https://github.com/firebase/firebase-js-sdk
devias-io,material-kit-react,4400,https://github.com/devias-io/material-kit-react
rowyio,rowy,4300,https://github.com/rowyio/rowy
firebase,firebase-ios-sdk,4300,https://github.com/firebase/firebase-ios-sdk
ThreeDotsLabs,wild-workouts-go-ddd-example,3800,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
spacecloud-io,space-cloud,3700,https://github.com/spacecloud-io/space-cloud
