username,repo_name,stars,repo_url
microsoft,playwright,45200,https://github.com/microsoft/playwright
FiloSottile,mkcert,38600,https://github.com/FiloSottile/mkcert
gorhill,uBlock,33400,https://github.com/gorhill/uBlock
iamadamdev,bypass-paywalls-chrome,31100,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22300,https://github.com/ovity/octotree
ArchiveBox,ArchiveBox,14600,https://github.com/ArchiveBox/ArchiveBox
mozilla-mobile,firefox-ios,11100,https://github.com/mozilla-mobile/firefox-ios
Anarios,return-youtube-dislike,10500,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,10100,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9700,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,9100,https://github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
microsoft,playwright-python,7600,https://github.com/microsoft/playwright-python
moonD4rk,HackBrowserData,6700,https://github.com/moonD4rk/HackBrowserData
arkenfox,user.js,6600,https://github.com/arkenfox/user.js
Kenshin,simpread,6500,https://github.com/Kenshin/simpread
mozilla-mobile,fenix,6500,https://github.com/mozilla-mobile/fenix
mozilla,geckodriver,6300,https://github.com/mozilla/geckodriver
ajayyy,SponsorBlock,6000,https://github.com/ajayyy/SponsorBlock
alyssaxuu,omni,5700,https://github.com/alyssaxuu/omni
