username,repo_name,stars,repo_url
pallets,flask,61200,https://github.com/pallets/flask
apache,superset,49500,https://github.com/apache/superset
plotly,dash,17700,https://github.com/plotly/dash
Asabeneh,30-Days-Of-Python,16900,https://github.com/Asabeneh/30-Days-Of-Python
jhao104,proxy_pool,16600,https://github.com/jhao104/proxy_pool
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
humiaozuzu,awesome-flask,11000,https://github.com/humiaozuzu/awesome-flask
OpenEthan,SMSBoom,9700,https://github.com/OpenEthan/SMSBoom
miguelgrinberg,flasky,8000,https://github.com/miguelgrinberg/flasky
jofpin,trape,7300,https://github.com/jofpin/trape
dvf,blockchain,7200,https://github.com/dvf/blockchain
benbusby,whoogle-search,6700,https://github.com/benbusby/whoogle-search
pyeve,eve,6600,https://github.com/pyeve/eve
joeyespo,grip,5800,https://github.com/joeyespo/grip
miguelgrinberg,Flask-SocketIO,4900,https://github.com/miguelgrinberg/Flask-SocketIO
CTFd,CTFd,4300,https://github.com/CTFd/CTFd
cookiecutter-flask,cookiecutter-flask,4300,https://github.com/cookiecutter-flask/cookiecutter-flask
schenkd,nginx-ui,4200,https://github.com/schenkd/nginx-ui
Python3WebSpider,ProxyPool,4200,https://github.com/Python3WebSpider/ProxyPool
miguelgrinberg,microblog,4100,https://github.com/miguelgrinberg/microblog
