username,repo_name,stars,repo_url
FortAwesome,Font-Awesome,70900,https://github.com/FortAwesome/Font-Awesome
tonsky,FiraCode,68600,https://github.com/tonsky/FiraCode
ryanoasis,nerd-fonts,41600,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,18000,https://github.com/you-dont-need/You-Dont-Need-JavaScript
be5invis,Iosevka,15400,https://github.com/be5invis/Iosevka
source-foundry,Hack,15300,https://github.com/source-foundry/Hack
rsms,inter,15000,https://github.com/rsms/inter
gztchan,awesome-design,14300,https://github.com/gztchan/awesome-design
faressoft,terminalizer,13700,https://github.com/faressoft/terminalizer
adobe-fonts,source-han-sans,12100,https://github.com/adobe-fonts/source-han-sans
neutraltone,awesome-stock-resources,11300,https://github.com/neutraltone/awesome-stock-resources
lxgw,LxgwWenKai,10600,https://github.com/lxgw/LxgwWenKai
atelier-anchor,smiley-sans,10100,https://github.com/atelier-anchor/smiley-sans
cdnjs,cdnjs,9800,https://github.com/cdnjs/cdnjs
dompdf,dompdf,9400,https://github.com/dompdf/dompdf
JetBrains,JetBrainsMono,8600,https://github.com/JetBrains/JetBrainsMono
IBM,plex,8300,https://github.com/IBM/plex
snowie2000,mactype,8100,https://github.com/snowie2000/mactype
be5invis,Sarasa-Gothic,8000,https://github.com/be5invis/Sarasa-Gothic
ubuwaits,beautiful-web-type,7200,https://github.com/ubuwaits/beautiful-web-type
