username,repo_name,stars,repo_url
vuejs,vue,202000,https://github.com/vuejs/vue
laravel,laravel,72300,https://github.com/laravel/laravel
django,django,68700,https://github.com/django/django
gin-gonic,gin,66400,https://github.com/gin-gonic/gin
spring-projects,spring-boot,65500,https://github.com/spring-projects/spring-boot
tiangolo,fastapi,54400,https://github.com/tiangolo/fastapi
nestjs,nest,54300,https://github.com/nestjs/nest
rails,rails,52300,https://github.com/rails/rails
spring-projects,spring-framework,50700,https://github.com/spring-projects/spring-framework
ionic-team,ionic-framework,48600,https://github.com/ionic-team/ionic-framework
scrapy,scrapy,46100,https://github.com/scrapy/scrapy
ocornut,imgui,45300,https://github.com/ocornut/imgui
meteor,meteor,43300,https://github.com/meteor/meteor
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
apache,dubbo,38400,https://github.com/apache/dubbo
laravel,framework,28900,https://github.com/laravel/framework
symfony,symfony,28000,https://github.com/symfony/symfony
postcss,postcss,27200,https://github.com/postcss/postcss
ianstormtaylor,slate,26400,https://github.com/ianstormtaylor/slate
gofiber,fiber,24600,https://github.com/gofiber/fiber
