username,repo_name,stars,repo_url
godotengine,godot,55700,https://github.com/godotengine/godot
libgdx,libgdx,20800,https://github.com/libgdx/libgdx
bevyengine,bevy,20600,https://github.com/bevyengine/bevy
leereilly,games,20300,https://github.com/leereilly/games
BabylonJS,Babylon.js,18900,https://github.com/BabylonJS/Babylon.js
cocos2d,cocos2d-x,16700,https://github.com/cocos2d/cocos2d-x
aframevr,aframe,14800,https://github.com/aframevr/aframe
liabru,matter-js,14000,https://github.com/liabru/matter-js
OpenRA,OpenRA,12100,https://github.com/OpenRA/OpenRA
SFTtech,openage,11400,https://github.com/SFTtech/openage
raysan5,raylib,11200,https://github.com/raysan5/raylib
kitao,pyxel,11000,https://github.com/kitao/pyxel
ellisonleao,magictools,10700,https://github.com/ellisonleao/magictools
OpenDiablo2,OpenDiablo2,10400,https://github.com/OpenDiablo2/OpenDiablo2
boardgameio,boardgame.io,9400,https://github.com/boardgameio/boardgame.io
MonoGame,MonoGame,9000,https://github.com/MonoGame/MonoGame
minetest,minetest,8200,https://github.com/minetest/minetest
playcanvas,engine,7900,https://github.com/playcanvas/engine
amethyst,amethyst,7900,https://github.com/amethyst/amethyst
skypjack,entt,7500,https://github.com/skypjack/entt
