username,repo_name,stars,repo_url
github,gitignore,144000,https://github.com/github/gitignore
gogs,gogs,41600,https://github.com/gogs/gogs
bregman-arie,devops-exercises,39700,https://github.com/bregman-arie/devops-exercises
sharkdp,bat,39600,https://github.com/sharkdp/bat
tiimgreen,github-cheat-sheet,39400,https://github.com/tiimgreen/github-cheat-sheet
go-gitea,gitea,34700,https://github.com/go-gitea/gitea
jesseduffield,lazygit,32700,https://github.com/jesseduffield/lazygit
cli,cli,31300,https://github.com/cli/cli
typicode,husky,28700,https://github.com/typicode/husky
github,hub,22300,https://github.com/github/hub
git-tips,tips,20600,https://github.com/git-tips/tips
logseq,logseq,20400,https://github.com/logseq/logseq
requarks,wiki,19800,https://github.com/requarks/wiki
desktop,desktop,16700,https://github.com/desktop/desktop
dandavison,delta,16400,https://github.com/dandavison/delta
so-fancy,diff-so-fancy,16300,https://github.com/so-fancy/diff-so-fancy
tj,git-extras,16200,https://github.com/tj/git-extras
netlify,netlify-cms,16100,https://github.com/netlify/netlify-cms
commitizen,cz-cli,14800,https://github.com/commitizen/cz-cli
521xueweihan,git-tips,14600,https://github.com/521xueweihan/git-tips
