username,repo_name,stars,repo_url
golang,go,108000,https://github.com/golang/go
avelino,awesome-go,96200,https://github.com/avelino/awesome-go
kubernetes,kubernetes,95800,https://github.com/kubernetes/kubernetes
gin-gonic,gin,66400,https://github.com/gin-gonic/gin
gohugoio,hugo,65300,https://github.com/gohugoio/hugo
moby,moby,65099,https://github.com/moby/moby
fatedier,frp,64200,https://github.com/fatedier/frp
grafana,grafana,53900,https://github.com/grafana/grafana
junegunn,fzf,49800,https://github.com/junegunn/fzf
syncthing,syncthing,49400,https://github.com/syncthing/syncthing
caddyserver,caddy,45800,https://github.com/caddyserver/caddy
etcd-io,etcd,42500,https://github.com/etcd-io/etcd
gogs,gogs,41600,https://github.com/gogs/gogs
traefik,traefik,41500,https://github.com/traefik/traefik
ethereum,go-ethereum,41100,https://github.com/ethereum/go-ethereum
golang-standards,project-layout,37700,https://github.com/golang-standards/project-layout
minio,minio,37400,https://github.com/minio/minio
rclone,rclone,37000,https://github.com/rclone/rclone
youngyangyang04,leetcode-master,35200,https://github.com/youngyangyang04/leetcode-master
go-gitea,gitea,34700,https://github.com/go-gitea/gitea
