username,repo_name,stars,repo_url
gatsbyjs,gatsby,53900,https://github.com/gatsbyjs/gatsby
strapi,strapi,50300,https://github.com/strapi/strapi
hoppscotch,hoppscotch,48600,https://github.com/hoppscotch/hoppscotch
prettier,prettier,44400,https://github.com/prettier/prettier
supabase,supabase,41800,https://github.com/supabase/supabase
TanStack,query,31400,https://github.com/TanStack/query
hasura,graphql-engine,28800,https://github.com/hasura/graphql-engine
Kong,insomnia,25100,https://github.com/Kong/insomnia
kriasoft,react-starter-kit,21600,https://github.com/kriasoft/react-starter-kit
marmelab,react-admin,21100,https://github.com/marmelab/react-admin
parse-community,parse-server,19900,https://github.com/parse-community/parse-server
graphql,graphql-js,19200,https://github.com/graphql/graphql-js
dgraph-io,dgraph,18700,https://github.com/dgraph-io/dgraph
directus,directus,18700,https://github.com/directus/directus
pubkey,rxdb,18500,https://github.com/pubkey/rxdb
apollographql,apollo-client,18300,https://github.com/apollographql/apollo-client
saleor,saleor,17600,https://github.com/saleor/saleor
prisma,prisma1,16800,https://github.com/prisma/prisma1
redwoodjs,redwood,15200,https://github.com/redwoodjs/redwood
graphql,graphiql,14400,https://github.com/graphql/graphiql
