username,repo_name,stars,repo_url
miniMAC,magic,7900,https://github.com/miniMAC/magic
vigetlabs,blendid,5000,https://github.com/vigetlabs/blendid
nieweidong,fetool,4400,https://github.com/nieweidong/fetool
assemble,assemble,4100,https://github.com/assemble/assemble
yeoman,generator-webapp,3800,https://github.com/yeoman/generator-webapp
Tencent,WeFlow,3200,https://github.com/Tencent/WeFlow
EmailThis,extension-boilerplate,3100,https://github.com/EmailThis/extension-boilerplate
MicrosoftDX,Vorlonjs,2900,https://github.com/MicrosoftDX/Vorlonjs
nas5w,100-days-of-code-frontend,2600,https://github.com/nas5w/100-days-of-code-frontend
Tencent,tmt-workflow,2200,https://github.com/Tencent/tmt-workflow
egoist,maid,2000,https://github.com/egoist/maid
summerblue,phphub5,2000,https://github.com/summerblue/phphub5
PatrickJS,NG6-starter,1900,https://github.com/PatrickJS/NG6-starter
ykob,sketch-threejs,1900,https://github.com/ykob/sketch-threejs
nicejade,Front-end-tutorial,1700,https://github.com/nicejade/Front-end-tutorial
luangjokaj,wordpressify,1500,https://github.com/luangjokaj/wordpressify
flatlogic,angular-material-dashboard,1300,https://github.com/flatlogic/angular-material-dashboard
b00giZm,docker-compose-nodejs-examples,986,https://github.com/b00giZm/docker-compose-nodejs-examples
FountainJS,generator-fountain-webapp,972,https://github.com/FountainJS/generator-fountain-webapp
nicejade,nice-front-end-tutorial,878,https://github.com/nicejade/nice-front-end-tutorial
