username,repo_name,stars,repo_url
twbs,bootstrap,161000,https://github.com/twbs/bootstrap
electron,electron,105000,https://github.com/electron/electron
storybookjs,storybook,75400,https://github.com/storybookjs/storybook
thedaviddias,Front-End-Checklist,63000,https://github.com/thedaviddias/Front-End-Checklist
microsoft,Web-Dev-For-Beginners,60800,https://github.com/microsoft/Web-Dev-For-Beginners
h5bp,html5-boilerplate,53700,https://github.com/h5bp/html5-boilerplate
rails,rails,51900,https://github.com/rails/rails
jgthms,bulma,46500,https://github.com/jgthms/bulma
prettier,prettier,44400,https://github.com/prettier/prettier
parcel-bundler,parcel,41700,https://github.com/parcel-bundler/parcel
vercel,hyper,39800,https://github.com/vercel/hyper
yangshun,front-end-interview-handbook,36000,https://github.com/yangshun/front-end-interview-handbook
videojs,video.js,34600,https://github.com/videojs/video.js
tabler,tabler,32200,https://github.com/tabler/tabler
SheetJS,sheetjs,31800,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,30600,https://github.com/Asabeneh/30-Days-Of-JavaScript
joshbuchea,HEAD,29500,https://github.com/joshbuchea/HEAD
layui,layui,26700,https://github.com/layui/layui
cheeriojs,cheerio,25700,https://github.com/cheeriojs/cheerio
mdbootstrap,mdb-ui-kit,22900,https://github.com/mdbootstrap/mdb-ui-kit
