username,repo_name,stars,repo_url
hoppscotch,hoppscotch,48600,https://github.com/hoppscotch/hoppscotch
psf,requests,48600,https://github.com/psf/requests
caddyserver,caddy,44600,https://github.com/caddyserver/caddy
ngosang,trackerslist,36900,https://github.com/ngosang/trackerslist
mitmproxy,mitmproxy,29500,https://github.com/mitmproxy/mitmproxy
aria2,aria2,28300,https://github.com/aria2/aria2
curl,curl,27600,https://github.com/curl/curl
httpie,httpie,25100,https://github.com/httpie/httpie
dromara,hutool,24800,https://github.com/dromara/hutool
ehang-io,nps,23900,https://github.com/ehang-io/nps
vapor,vapor,22300,https://github.com/vapor/vapor
tsenart,vegeta,20500,https://github.com/tsenart/vegeta
locustio,locust,20200,https://github.com/locustio/locust
go-kratos,kratos,19400,https://github.com/go-kratos/kratos
gorilla,mux,17800,https://github.com/gorilla/mux
uNetworking,uWebSockets,14900,https://github.com/uNetworking/uWebSockets
julienschmidt,httprouter,14700,https://github.com/julienschmidt/httprouter
hapijs,hapi,14100,https://github.com/hapijs/hapi
snail007,goproxy,13100,https://github.com/snail007/goproxy
aio-libs,aiohttp,13100,https://github.com/aio-libs/aiohttp
