username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,361000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,266000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,155000,https://github.com/ohmyzsh/ohmyzsh
TheAlgorithms,Python,153000,https://github.com/TheAlgorithms/Python
microsoft,vscode,142000,https://github.com/microsoft/vscode
axios,axios,98700,https://github.com/axios/axios
avelino,awesome-go,96200,https://github.com/avelino/awesome-go
mui,material-ui,84500,https://github.com/mui/material-ui
huggingface,transformers,80500,https://github.com/huggingface/transformers
iluwatar,java-design-patterns,79800,https://github.com/iluwatar/java-design-patterns
rust-lang,rust,77700,https://github.com/rust-lang/rust
florinpop17,app-ideas,62400,https://github.com/florinpop17/app-ideas
chartjs,Chart.js,59800,https://github.com/chartjs/Chart.js
tauri-apps,tauri,58700,https://github.com/tauri-apps/tauri
home-assistant,core,58100,https://github.com/home-assistant/core
godotengine,godot,57700,https://github.com/godotengine/godot
ansible,ansible,56200,https://github.com/ansible/ansible
leonardomso,33-js-concepts,54900,https://github.com/leonardomso/33-js-concepts
chrislgarry,Apollo-11,54400,https://github.com/chrislgarry/Apollo-11
nestjs,nest,54300,https://github.com/nestjs/nest
