username,repo_name,stars,repo_url
koalaman,shellcheck,31400,https://github.com/koalaman/shellcheck
hasura,graphql-engine,29200,https://github.com/hasura/graphql-engine
jgm,pandoc,27900,https://github.com/jgm/pandoc
PostgREST,postgrest,20000,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,12600,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,10000,https://github.com/hmemcpy/milewski-ctfp-pdf
lk-geimfari,awesomo,8800,https://github.com/lk-geimfari/awesomo
hadolint,hadolint,8100,https://github.com/hadolint/hadolint
purescript,purescript,8000,https://github.com/purescript/purescript
liuxinyu95,AlgoXY,5500,https://github.com/liuxinyu95/AlgoXY
unisonweb,unison,5100,https://github.com/unisonweb/unison
digitallyinduced,ihp,3800,https://github.com/digitallyinduced/ihp
input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
xmonad,xmonad,2900,https://github.com/xmonad/xmonad
typelead,eta,2600,https://github.com/typelead/eta
wireapp,wire-server,2500,https://github.com/wireapp/wire-server
koka-lang,koka,2500,https://github.com/koka-lang/koka
IHaskell,IHaskell,2400,https://github.com/IHaskell/IHaskell
simplex-chat,simplex-chat,2400,https://github.com/simplex-chat/simplex-chat
sdiehl,wiwinwlh,2400,https://github.com/sdiehl/wiwinwlh
