username,repo_name,stars,repo_url
Homebrew,brew,34900,https://github.com/Homebrew/brew
github,hub,22300,https://github.com/github/hub
Homebrew,homebrew-cask,19800,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,12100,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,11200,https://github.com/goreleaser/goreleaser
Caldis,Mos,10600,https://github.com/Caldis/Mos
mas-cli,mas,9600,https://github.com/mas-cli/mas
diasurgical,devilutionX,6200,https://github.com/diasurgical/devilutionX
IdreesInc,Monocraft,6200,https://github.com/IdreesInc/Monocraft
geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
Homebrew,homebrew-bundle,4400,https://github.com/Homebrew/homebrew-bundle
paulirish,dotfiles,4000,https://github.com/paulirish/dotfiles
mock-server,mockserver,4000,https://github.com/mock-server/mockserver
LumaTeam,Luma3DS,4000,https://github.com/LumaTeam/Luma3DS
whalebrew,whalebrew,3700,https://github.com/whalebrew/whalebrew
cointop-sh,cointop,3500,https://github.com/cointop-sh/cointop
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
Homebrew,homebrew-cask-fonts,2500,https://github.com/Homebrew/homebrew-cask-fonts
nicoverbruggen,phpmon,2500,https://github.com/nicoverbruggen/phpmon
nicknisi,dotfiles,2500,https://github.com/nicknisi/dotfiles
