username,repo_name,stars,repo_url
homebridge,homebridge,21500,https://github.com/homebridge/homebridge
oznu,docker-homebridge,2300,https://github.com/oznu/docker-homebridge
oznu,homebridge-config-ui-x,2300,https://github.com/oznu/homebridge-config-ui-x
YinHangCode,homebridge-mi-aqara,1100,https://github.com/YinHangCode/homebridge-mi-aqara
Sunoo,homebridge-camera-ffmpeg,996,https://github.com/Sunoo/homebridge-camera-ffmpeg
hjdhjd,homebridge-unifi-protect,993,https://github.com/hjdhjd/homebridge-unifi-protect
homebridge,homebridge-raspbian-image,923,https://github.com/homebridge/homebridge-raspbian-image
dgreif,ring,901,https://github.com/dgreif/ring
merdok,homebridge-webos-tv,583,https://github.com/merdok/homebridge-webos-tv
tavicu,homebridge-samsung-tizen,565,https://github.com/tavicu/homebridge-samsung-tizen
lprhodes,homebridge-broadlink-rm,563,https://github.com/lprhodes/homebridge-broadlink-rm
sieren,Homepoint,555,https://github.com/sieren/Homepoint
oznu,homebridge-syno-spk,522,https://github.com/oznu/homebridge-syno-spk
hoobs-org,HOOBS,516,https://github.com/hoobs-org/HOOBS
seydx,homebridge-camera-ui,475,https://github.com/seydx/homebridge-camera-ui
hjdhjd,homebridge-myq,408,https://github.com/hjdhjd/homebridge-myq
plasticrake,homebridge-tplink-smarthome,406,https://github.com/plasticrake/homebridge-tplink-smarthome
taligentx,dscKeybusInterface,395,https://github.com/taligentx/dscKeybusInterface
tonesto7,homebridge-smartthings,376,https://github.com/tonesto7/homebridge-smartthings
oznu,homebridge-gsh,349,https://github.com/oznu/homebridge-gsh
