username,repo_name,stars,repo_url
ipfs,ipfs,21600,https://github.com/ipfs/ipfs
ipfs,kubo,14500,https://github.com/ipfs/kubo
lensterxyz,lenster,9400,https://github.com/lensterxyz/lenster
orbitdb,orbit-db,7400,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,7200,https://github.com/ipfs/js-ipfs
smartcontractkit,full-blockchain-solidity-course-js,6600,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
berty,berty,6300,https://github.com/berty/berty
ipfs,ipfs-desktop,4700,https://github.com/ipfs/ipfs-desktop
ipfs,awesome-ipfs,3900,https://github.com/ipfs/awesome-ipfs
embarklabs,embark,3700,https://github.com/embarklabs/embark
TeamPiped,Piped,3500,https://github.com/TeamPiped/Piped
yjjnls,awesome-blockchain,2600,https://github.com/yjjnls/awesome-blockchain
hoochanlon,fq-book,2600,https://github.com/hoochanlon/fq-book
filecoin-project,lotus,2500,https://github.com/filecoin-project/lotus
graphprotocol,graph-node,2300,https://github.com/graphprotocol/graph-node
zu1k,zlib-searcher,2100,https://github.com/zu1k/zlib-searcher
lenstube-xyz,lenstube,2100,https://github.com/lenstube-xyz/lenstube
libp2p,js-libp2p,1900,https://github.com/libp2p/js-libp2p
ipfs,ipfs-companion,1800,https://github.com/ipfs/ipfs-companion
orbitdb,orbit,1600,https://github.com/orbitdb/orbit
