username,repo_name,stars,repo_url
ryanoasis,nerd-fonts,41600,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,11300,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8400,https://github.com/akveo/eva-icons
Remix-Design,RemixIcon,5100,https://github.com/Remix-Design/RemixIcon
mikepenz,Android-Iconics,5100,https://github.com/mikepenz/Android-Iconics
ecomfe,fontmin,5000,https://github.com/ecomfe/fontmin
refscn,rplibs,2800,https://github.com/refscn/rplibs
atisawd,boxicons,2200,https://github.com/atisawd/boxicons
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
phosphor-icons,homepage,1900,https://github.com/phosphor-icons/homepage
coreui,coreui-icons,1900,https://github.com/coreui/coreui-icons
home-assistant,Iconic,1600,https://github.com/home-assistant/Iconic
ForkAwesome,Fork-Awesome,1200,https://github.com/ForkAwesome/Fork-Awesome
dongjunkun,GanK,1200,https://github.com/dongjunkun/GanK
brabadu,awesome-fonts,1100,https://github.com/brabadu/awesome-fonts
vkarampinis,awesome-icons,1000,https://github.com/vkarampinis/awesome-icons
leungwensen,svg-icon,986,https://github.com/leungwensen/svg-icon
pfefferle,openwebicons,848,https://github.com/pfefferle/openwebicons
juliettef,IconFontCppHeaders,832,https://github.com/juliettef/IconFontCppHeaders
jpswalsh,academicons,699,https://github.com/jpswalsh/academicons
