username,repo_name,stars,repo_url
tiangolo,fastapi,52200,https://github.com/tiangolo/fastapi
prettier,prettier,44400,https://github.com/prettier/prettier
chinese-poetry,chinese-poetry,38400,https://github.com/chinese-poetry/chinese-poetry
nlohmann,json,32800,https://github.com/nlohmann/json
SheetJS,sheetjs,31800,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,30600,https://github.com/Asabeneh/30-Days-Of-JavaScript
alibaba,fastjson,25100,https://github.com/alibaba/fastjson
httpie,httpie,25100,https://github.com/httpie/httpie
dromara,hutool,24800,https://github.com/dromara/hutool
SwiftyJSON,SwiftyJSON,21700,https://github.com/SwiftyJSON/SwiftyJSON
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
codex-team,editor.js,20900,https://github.com/codex-team/editor.js
AykutSarac,jsoncrack.com,20200,https://github.com/AykutSarac/jsoncrack.com
urfave,cli,19400,https://github.com/urfave/cli
typicode,lowdb,18700,https://github.com/typicode/lowdb
simdjson,simdjson,16300,https://github.com/simdjson/simdjson
antonmedv,fx,15500,https://github.com/antonmedv/fx
modood,Administrative-divisions-of-China,14400,https://github.com/modood/Administrative-divisions-of-China
baidu,amis,12600,https://github.com/baidu/amis
rjsf-team,react-jsonschema-form,12100,https://github.com/rjsf-team/react-jsonschema-form
