username,repo_name,stars,repo_url
CyC2018,CS-Notes,161000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,131000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,79800,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,68500,https://github.com/doocs/advanced-java
spring-projects,spring-boot,65500,https://github.com/spring-projects/spring-boot
macrozheng,mall,63500,https://github.com/macrozheng/mall
elastic,elasticsearch,62700,https://github.com/elastic/elasticsearch
kdn251,interviews,59200,https://github.com/kdn251/interviews
azl397985856,leetcode,50400,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,50200,https://github.com/TheAlgorithms/Java
ReactiveX,RxJava,46800,https://github.com/ReactiveX/RxJava
google,guava,46800,https://github.com/google/guava
square,okhttp,43500,https://github.com/square/okhttp
square,retrofit,41100,https://github.com/square/retrofit
apache,dubbo,38400,https://github.com/apache/dubbo
PhilJay,MPAndroidChart,36100,https://github.com/PhilJay/MPAndroidChart
youngyangyang04,leetcode-master,35200,https://github.com/youngyangyang04/leetcode-master
apache,spark,35000,https://github.com/apache/spark
jeecgboot,jeecg-boot,33400,https://github.com/jeecgboot/jeecg-boot
skylot,jadx,33200,https://github.com/skylot/jadx
