username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,358000,https://github.com/freeCodeCamp/freeCodeCamp
vuejs,vue,201000,https://github.com/vuejs/vue
facebook,react,199000,https://github.com/facebook/react
getify,You-Dont-Know-JS,162000,https://github.com/getify/You-Dont-Know-JS
twbs,bootstrap,161000,https://github.com/twbs/bootstrap
trekhleb,javascript-algorithms,156000,https://github.com/trekhleb/javascript-algorithms
airbnb,javascript,129000,https://github.com/airbnb/javascript
30-seconds,30-seconds-of-code,105000,https://github.com/30-seconds/30-seconds-of-code
electron,electron,105000,https://github.com/electron/electron
axios,axios,97600,https://github.com/axios/axios
justjavac,free-programming-books-zh_CN,97500,https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,91900,https://github.com/nodejs/node
mrdoob,three.js,87300,https://github.com/mrdoob/three.js
denoland,deno,86700,https://github.com/denoland/deno
microsoft,TypeScript,86600,https://github.com/microsoft/TypeScript
angular,angular,85300,https://github.com/angular/angular
goldbergyoni,nodebestpractices,83800,https://github.com/goldbergyoni/nodebestpractices
practical-tutorials,project-based-learning,83000,https://github.com/practical-tutorials/project-based-learning
mui,material-ui,83000,https://github.com/mui/material-ui
ryanmcdermott,clean-code-javascript,76100,https://github.com/ryanmcdermott/clean-code-javascript
