username,repo_name,stars,repo_url
jekyll,jekyll,45700,https://github.com/jekyll/jekyll
tabler,tabler,32200,https://github.com/tabler/tabler
mmistakes,minimal-mistakes,10400,https://github.com/mmistakes/minimal-mistakes
primer,octicons,7600,https://github.com/primer/octicons
just-the-docs,just-the-docs,5100,https://github.com/just-the-docs/just-the-docs
mqtt,mqtt.org,5000,https://github.com/mqtt/mqtt.org
alshedivat,al-folio,4400,https://github.com/alshedivat/al-folio
daattali,beautiful-jekyll,4400,https://github.com/daattali/beautiful-jekyll
fastai,fastpages,3400,https://github.com/fastai/fastpages
poole,hyde,3400,https://github.com/poole/hyde
home-assistant,home-assistant.io,3300,https://github.com/home-assistant/home-assistant.io
github,choosealicense.com,3100,https://github.com/github/choosealicense.com
poole,lanyon,3100,https://github.com/poole/lanyon
jekyll,minima,2800,https://github.com/jekyll/minima
poole,poole,2700,https://github.com/poole/poole
jekyll,jekyll-admin,2700,https://github.com/jekyll/jekyll-admin
kitian616,jekyll-TeXt-theme,2600,https://github.com/kitian616/jekyll-TeXt-theme
sergiokopplin,indigo,2400,https://github.com/sergiokopplin/indigo
sharu725,online-cv,2300,https://github.com/sharu725/online-cv
eduardoboucas,staticman,2300,https://github.com/eduardoboucas/staticman
