username,repo_name,stars,repo_url
jakevdp,PythonDataScienceHandbook,36700,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25100,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,24900,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,20600,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,19400,https://github.com/MLEveryday/100-Days-Of-ML-Code
microsoft,recommenders,14600,https://github.com/microsoft/recommenders
emilwallner,Screenshot-to-code,13800,https://github.com/emilwallner/Screenshot-to-code
plotly,plotly.py,12500,https://github.com/plotly/plotly.py
chenyuntc,pytorch-book,10500,https://github.com/chenyuntc/pytorch-book
ydataai,pandas-profiling,9900,https://github.com/ydataai/pandas-profiling
jupyter,notebook,9600,https://github.com/jupyter/notebook
dunovank,jupyter-themes,9400,https://github.com/dunovank/jupyter-themes
marceloprates,prettymaps,8900,https://github.com/marceloprates/prettymaps
microsoft,computervision-recipes,8700,https://github.com/microsoft/computervision-recipes
AkashSingh3031,The-Complete-FAANG-Preparation,8500,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
aws,amazon-sagemaker-examples,7600,https://github.com/aws/amazon-sagemaker-examples
jupyterhub,jupyterhub,7000,https://github.com/jupyterhub/jupyterhub
jupyter,docker-stacks,7000,https://github.com/jupyter/docker-stacks
firmai,industry-machine-learning,6600,https://github.com/firmai/industry-machine-learning
Atcold,pytorch-Deep-Learning,6200,https://github.com/Atcold/pytorch-Deep-Learning
