username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,99700,https://github.com/justjavac/free-programming-books-zh_CN
JetBrains,kotlin,43900,https://github.com/JetBrains/kotlin
square,okhttp,43500,https://github.com/square/okhttp
square,leakcanary,28200,https://github.com/square/leakcanary
NativeScript,NativeScript,22200,https://github.com/NativeScript/NativeScript
google,iosched,21700,https://github.com/google/iosched
tachiyomiorg,tachiyomi,21000,https://github.com/tachiyomiorg/tachiyomi
tipsy,profile-summary-for-github,19700,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19500,https://github.com/afollestad/material-dialogs
Kotlin,anko,15900,https://github.com/Kotlin/anko
Tencent,MMKV,15500,https://github.com/Tencent/MMKV
Kotlin,kotlinx.coroutines,11700,https://github.com/Kotlin/kotlinx.coroutines
mamoe,mirai,11600,https://github.com/mamoe/mirai
wasabeef,recyclerview-animators,11200,https://github.com/wasabeef/recyclerview-animators
permissions-dispatcher,PermissionsDispatcher,11100,https://github.com/permissions-dispatcher/PermissionsDispatcher
ktorio,ktor,10800,https://github.com/ktorio/ktor
gyf-dev,ImmersionBar,10700,https://github.com/gyf-dev/ImmersionBar
KotlinBy,awesome-kotlin,10300,https://github.com/KotlinBy/awesome-kotlin
JetBrains,compose-jb,10300,https://github.com/JetBrains/compose-jb
android,nowinandroid,9900,https://github.com/android/nowinandroid
