username,repo_name,stars,repo_url
kubernetes,kubernetes,94200,https://github.com/kubernetes/kubernetes
netdata,netdata,61300,https://github.com/netdata/netdata
etcd-io,etcd,42000,https://github.com/etcd-io/etcd
traefik,traefik,40600,https://github.com/traefik/traefik
minio,minio,36600,https://github.com/minio/minio
bregman-arie,devops-exercises,34100,https://github.com/bregman-arie/devops-exercises
Kong,kong,33500,https://github.com/Kong/kong
istio,istio,32000,https://github.com/istio/istio
LeCoupa,awesome-cheatsheets,31500,https://github.com/LeCoupa/awesome-cheatsheets
hashicorp,consul,25700,https://github.com/hashicorp/consul
kubernetes,minikube,25200,https://github.com/kubernetes/minikube
alibaba,nacos,24800,https://github.com/alibaba/nacos
dokku,dokku,24000,https://github.com/dokku/dokku
portainer,portainer,23800,https://github.com/portainer/portainer
helm,helm,23300,https://github.com/helm/helm
openfaas,faas,22400,https://github.com/openfaas/faas
k3s-io,k3s,21700,https://github.com/k3s-io/k3s
yeasy,docker_practice,21500,https://github.com/yeasy/docker_practice
rancher,rancher,20300,https://github.com/rancher/rancher
jhipster,generator-jhipster,20100,https://github.com/jhipster/generator-jhipster
