username,repo_name,stars,repo_url
laravel,laravel,72300,https://github.com/laravel/laravel
laravel,framework,28900,https://github.com/laravel/framework
monicahq,monica,18700,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,14900,https://github.com/barryvdh/laravel-debugbar
koel,koel,14400,https://github.com/koel/koel
flarum,flarum,13700,https://github.com/flarum/flarum
Intervention,image,13100,https://github.com/Intervention/image
CachetHQ,Cachet,13000,https://github.com/CachetHQ/Cachet
barryvdh,laravel-ide-helper,12900,https://github.com/barryvdh/laravel-ide-helper
roots,sage,12000,https://github.com/roots/sage
chiraggude,awesome-laravel,11600,https://github.com/chiraggude/awesome-laravel
the-control-group,voyager,11300,https://github.com/the-control-group/voyager
SpartnerNL,Laravel-Excel,11300,https://github.com/SpartnerNL/Laravel-Excel
spatie,laravel-permission,11000,https://github.com/spatie/laravel-permission
BookStackApp,BookStack,11000,https://github.com/BookStackApp/BookStack
octobercms,october,10800,https://github.com/octobercms/october
tymondesigns,jwt-auth,10700,https://github.com/tymondesigns/jwt-auth
alexeymezenin,laravel-best-practices,9200,https://github.com/alexeymezenin/laravel-best-practices
guyueyingmu,avbook,8700,https://github.com/guyueyingmu/avbook
laravel,lumen,7600,https://github.com/laravel/lumen
